NAME_1,lon,lat,cases
甘肃,103.73,36.03,187
青海,101.74,36.56,18
四川,104.06,30.67,877
河北,114.48,38.03,1316
云南,102.73,25.04,231
贵州,106.71,26.57,147
湖北,114.31,30.52,68150
河南,113.65,34.76,1303
山东,117,36.65,867
江苏,118.78,32.04,703
安徽,117.27,31.86,994
浙江,120.19,30.26,1320
江西,115.89,28.68,935
福建,119.3,26.08,548
广东,113.23,23.16,2157
湖南,113,28.21,1033
海南,110.35,20.02,171
辽宁,123.38,41.8,404
吉林,125.35,43.88,573
黑龙江,126.63,45.75,1609
山西,112.53,37.87,239
陕西,108.95,34.27,543
台湾,121.3,25.03,937
北京,116.46,39.92,1046
上海,121.48,31.22,1759
重庆,106.54,29.59,591
天津,117.2,39.13,348
内蒙古,111.65,40.82,367
广西,108.33,22.84,267
西藏,91.11,29.97,1
宁夏,106.27,38.47,75
新疆,87.68,43.77,980
香港,114.17,22.28,10767
澳门,113.54,22.19,48